sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class,,,,,
207,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
208,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
209,0.0309,0.054,0.0268,0.0847,0.2565,0.3295,0.3814,0.3271,0.1357,0.0647,6422,,,,,
210,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
211,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
212,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
213,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
214,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
215,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
216,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
217,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
218,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
219,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
220,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
221,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
222,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
223,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
224,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
225,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
226,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
227,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,6422,,,,,
228,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
229,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
230,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
231,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
232,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
